edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
-0.23887437316154134,-3.7778650295890723,0.834138079963293,-4.317749615198736,1.7927337482157302,-4.51893677662486,2.663563491704298,-4.613156294659722,3.4821689469785126,-4.664370445348613,1.7927337482157302,-4.51893677662486,7.280599802949407
-0.2487067322872831,-3.7759878374479054,0.8250343225856159,-4.321899658750638,1.7852418909562477,-4.525564462261066,2.6573359879838736,-4.62098218921465,3.476879424452694,-4.672857443049934,1.7852418909562477,-4.525564462261066,7.2906025096875275
-0.2585243457326874,-3.7740349927154613,0.8159099184641563,-4.326004108689741,1.777725531523127,-4.532164347332866,2.6510854908527803,-4.628789731323851,3.4715692168359644,-4.68133151371288,1.777725531523127,-4.532164347332866,7.300605216425648
-0.2683266314170517,-3.772006611174792,0.8067650959400011,-4.330062862300888,1.7701847730772595,-4.538736341257842,2.644812054395352,-4.6365788534301835,3.4662383557204826,-4.6897926069224365,1.7701847730772595,-4.538736341257842,7.310607923163769
-0.27811300816844675,-3.769902813087481,0.7976000838652139,-4.334075818012495,1.7626197191144084,-4.545280353836374,2.638515732894412,-4.644349488135892,3.4608868728212814,-4.698240672340799,1.7626197191144084,-4.545280353836374,7.320610629901889
-0.28788289575817566,-3.767723723186518,0.7884151115971094,-4.33804287539908,1.7550304734637898,-4.551796295252886,2.632196580830805,-4.652101568203188,3.4555147999760805,-4.706675659707667,1.7550304734637898,-4.551796295252886,7.33061333664001
-0.2976357149351743,-3.7654694706689007,0.7792104089925113,-4.341963935183782,1.747417140286647,-4.55828407607707,2.6258546528829223,-4.6598350265548305,3.4501221691450943,-4.7150975188405475,1.747417140286647,-4.55828407607707,7.34061604337813
-0.3073708874603551,-3.7631401891879754,0.7699862064020009,-4.345838899240845,1.7397798240748206,-4.564743607265122,2.6194900039262303,-4.667549796274715,3.4447090124108457,-4.723506199635048,1.7397798240748206,-4.564743607265122,7.350618750116251
-0.31708783614089026,-3.760736016845512,0.7607427346641542,-4.349667670598073,1.7321186296493152,-4.571174800160957,2.613102689032797,-4.6752458106084385,3.43927536197797,-4.731901652065185,1.7321186296493152,-4.571174800160957,7.36062145685437
-0.32678598486443344,-3.7582570961835193,0.7514802250997625,-4.353450153439258,1.7244336621588598,-4.57757756649743,2.606692763470815,-4.682923002963889,3.4338212501730294,-4.740283826183667,1.7244336621588598,-4.57757756649743,7.370624163592491
-0.3364647586332769,-3.755703574175789,0.7421989095060451,-4.357186253106574,1.716725027078465,-4.583951818397548,2.60026028270412,-4.690581306911818,3.4283467094443143,-4.748652672122207,1.716725027078465,-4.583951818397548,7.3806268703306115
-0.3461235835984431,-3.7530756022191847,0.7328990201508474,-4.360875876102952,1.708992830207976,-4.590297468375669,2.5938053023917162,-4.698220656186411,3.4228517723616556,-4.757008140091806,1.708992830207976,-4.590297468375669,7.390629577068732
-0.35576188709370754,-3.7503733361246647,0.7235807897668308,-4.364518930094412,1.7012371776706199,-4.596614429338715,2.58732787838729,-4.705840984685869,3.417336471616228,-4.765350180383057,1.7012371776706199,-4.596614429338715,7.400632283806852
-0.3653790976695524,-3.747596936108046,0.7142444515456451,-4.368115323912381,1.693458175911549,-4.602902614587354,2.5808280667387304,-4.713442226472972,3.4118008400203568,-4.773678743366438,1.693458175911549,-4.602902614587354,7.410634990544972
-0.37497464512704604,-3.7447465667805018,0.7048902391320948,-4.371664967555972,1.68565593169638,-4.609161937817201,2.5743059236876413,-4.721024315775656,3.406244910507321,-4.781993779492611,1.68565593169638,-4.609161937817201,7.420637697283093
-0.3845479605516516,-3.741822397138804,0.6955183866182916,-4.375167772194235,1.6778305521097288,-4.615392313119996,2.567761505668855,-4.72858718698758,3.40066871613116,-4.790295239292709,1.6778305521097288,-4.615392313119996,7.430640404021212
-0.3940984763469566,-3.7388246005553034,0.6861291285377973,-4.378623650168379,1.6699821445537417,-4.621593654984782,2.5611948693099476,-4.736130774668691,3.395072290066475,-4.798583073378636,1.6699821445537417,-4.621593654984782,7.440643110759332
-0.40362562626832543,-3.7357533547676502,0.6767226998597521,-4.38203251499397,1.6621108167466192,-4.627765878299087,2.554606071430743,-4.743655013545796,3.389455665608231,-4.806857232443365,1.6621108167466192,-4.627765878299087,7.450645817497453
-0.4131288454564721,-3.732608841868256,0.6672993359829966,-4.385394281363093,1.6542166767211393,-4.633908898350084,2.5479951690428253,-4.7511598385131215,3.3838188761715617,-4.815117667261219,1.6542166767211393,-4.633908898350084,7.460648524235573
-0.42260757047094977,-3.7293912482934966,0.6578592727301794,-4.388708865146484,1.6462998328231735,-4.640022630825756,2.541362219349047,-4.7586451846328774,3.378161955291567,-4.823364328688175,1.6462998328231735,-4.640022630825756,7.470651230973694
-0.43206123932355744,-3.726100764812661,0.6484027463418576,-4.391976183395641,1.638360393710202,-4.646106991816054,2.534707279743028,-4.766110987135824,3.372484936623117,-4.831597167662152,1.638360393710202,-4.646106991816054,7.480653937711814
-0.4414892915116597,-3.7227375865166383,0.638929993470582,-4.395196154344896,1.6303984683498198,-4.6521618978140475,2.5280304078086657,-4.773557181421825,3.366787853940649,-4.839816135203303,1.6303984683498198,-4.6521618978140475,7.490656644449935
-0.45089116805141827,-3.7193019128063516,0.629441251174977,-4.398368697413461,1.622414166018242,-4.658187265717072,2.521331661319631,-4.780983703060412,3.3610707411379677,-4.848021182414305,1.622414166018242,-4.658187265717072,7.500659351188055
-0.46026631151093483,-3.7157939473809365,0.6199367569138066,-4.401493733207447,1.6144075962988054,-4.66418301282787,2.514611098238873,-4.7883904877913395,3.3553336322280436,-4.856212260480655,1.6144075962988054,-4.66418301282787,7.510662057926176
-0.46961416604329886,-3.7122138982256625,0.6104167485400344,-4.404571183521848,1.6063788690804617,-4.670149056855722,2.507868776718116,-4.7957774715251436,3.3495765613428117,-4.864389320670955,1.6063788690804617,-4.670149056855722,7.5206647646642955
-0.4789341774195461,-3.7085619775996026,0.6008814642948678,-4.407600971342502,1.5983280945562723,-4.676085315917581,2.5011047550973524,-4.803144590343692,3.343799562732966,-4.872552314337203,1.5983280945562723,-4.676085315917581,7.530667471402416
