edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,cumulative_distance
1.7869999999999999,1.9899749373433584,2.0,1.9899749373433584,2.2130000000000001,1.9899749373433584,0.010025062656641603
1.7869999999999999,1.9799498746867168,2.0,1.9799498746867168,2.2130000000000001,1.9799498746867168,0.020050125313283207
1.7869999999999999,1.9699248120300752,2.0,1.9699248120300752,2.2130000000000001,1.9699248120300752,0.03007518796992481
1.7869999999999999,1.9598997493734336,2.0,1.9598997493734336,2.2130000000000001,1.9598997493734336,0.040100250626566414
1.7869999999999999,1.949874686716792,2.0,1.949874686716792,2.2130000000000001,1.949874686716792,0.050125313283208017
1.7869999999999999,1.9398496240601504,2.0,1.9398496240601504,2.2130000000000001,1.9398496240601504,0.060150375939849621
1.7869999999999999,1.9298245614035088,2.0,1.9298245614035088,2.2130000000000001,1.9298245614035088,0.070175438596491224
1.7869999999999999,1.9197994987468672,2.0,1.9197994987468672,2.2130000000000001,1.9197994987468672,0.080200501253132828
1.7869999999999999,1.9097744360902256,2.0,1.9097744360902256,2.2130000000000001,1.9097744360902256,0.090225563909774431
1.7869999999999999,1.899749373433584,2.0,1.899749373433584,2.2130000000000001,1.899749373433584,0.10025062656641603
1.7869999999999999,1.8897243107769424,2.0,1.8897243107769424,2.2130000000000001,1.8897243107769424,0.11027568922305764
1.7869999999999999,1.8796992481203008,2.0,1.8796992481203008,2.2130000000000001,1.8796992481203008,0.12030075187969924
1.7869999999999999,1.8696741854636592,2.0,1.8696741854636592,2.2130000000000001,1.8696741854636592,0.13032581453634084
1.7869999999999999,1.8596491228070176,2.0,1.8596491228070176,2.2130000000000001,1.8596491228070176,0.14035087719298245
1.7869999999999999,1.8496240601503759,2.0,1.8496240601503759,2.2130000000000001,1.8496240601503759,0.15037593984962405
1.7869999999999999,1.8395989974937343,2.0,1.8395989974937343,2.2130000000000001,1.8395989974937343,0.16040100250626566
1.7869999999999999,1.8295739348370927,2.0,1.8295739348370927,2.2130000000000001,1.8295739348370927,0.17042606516290726
1.7869999999999999,1.8195488721804511,2.0,1.8195488721804511,2.2130000000000001,1.8195488721804511,0.18045112781954886
1.7869999999999999,1.8095238095238095,2.0,1.8095238095238095,2.2130000000000001,1.8095238095238095,0.19047619047619047
1.7869999999999999,1.7994987468671679,2.0,1.7994987468671679,2.2130000000000001,1.7994987468671679,0.20050125313283207
1.7869999999999999,1.7894736842105263,2.0,1.7894736842105263,2.2130000000000001,1.7894736842105263,0.21052631578947367
1.7869999999999999,1.7794486215538847,2.0,1.7794486215538847,2.2130000000000001,1.7794486215538847,0.22055137844611528
1.7869999999999999,1.7694235588972431,2.0,1.7694235588972431,2.2130000000000001,1.7694235588972431,0.23057644110275688
1.7869999999999999,1.7593984962406015,2.0,1.7593984962406015,2.2130000000000001,1.7593984962406015,0.24060150375939848
1.7869999999999999,1.7493734335839599,2.0,1.7493734335839599,2.2130000000000001,1.7493734335839599,0.25062656641604009
1.7869999999999999,1.7393483709273183,2.0,1.7393483709273183,2.2130000000000001,1.7393483709273183,0.26065162907268169
1.7869999999999999,1.7293233082706767,2.0,1.7293233082706767,2.2130000000000001,1.7293233082706767,0.27067669172932329
1.7869999999999999,1.7192982456140351,2.0,1.7192982456140351,2.2130000000000001,1.7192982456140351,0.2807017543859649
1.7869999999999999,1.7092731829573935,2.0,1.7092731829573935,2.2130000000000001,1.7092731829573935,0.2907268170426065
1.7869999999999999,1.6992481203007519,2.0,1.6992481203007519,2.2130000000000001,1.6992481203007519,0.3007518796992481
1.7869999999999999,1.6892230576441103,2.0,1.6892230576441103,2.2130000000000001,1.6892230576441103,0.31077694235588971
1.7869999999999999,1.6791979949874687,2.0,1.6791979949874687,2.2130000000000001,1.6791979949874687,0.32080200501253131
1.7869999999999999,1.6691729323308271,2.0,1.6691729323308271,2.2130000000000001,1.6691729323308271,0.33082706766917291
1.7869999999999999,1.6591478696741855,2.0,1.6591478696741855,2.2130000000000001,1.6591478696741855,0.34085213032581452
1.7869999999999999,1.6491228070175439,2.0,1.6491228070175439,2.2130000000000001,1.6491228070175439,0.35087719298245612
1.7869999999999999,1.6390977443609023,2.0,1.6390977443609023,2.2130000000000001,1.6390977443609023,0.36090225563909772
1.7869999999999999,1.6290726817042607,2.0,1.6290726817042607,2.2130000000000001,1.6290726817042607,0.37092731829573933
1.7869999999999999,1.6190476190476191,2.0,1.6190476190476191,2.2130000000000001,1.6190476190476191,0.38095238095238093
1.7869999999999999,1.6090225563909775,2.0,1.6090225563909775,2.2130000000000001,1.6090225563909775,0.39097744360902253
1.7869999999999999,1.5989974937343359,2.0,1.5989974937343359,2.2130000000000001,1.5989974937343359,0.40100250626566414
1.7869999999999999,1.5889724310776943,2.0,1.5889724310776943,2.2130000000000001,1.5889724310776943,0.41102756892230574
1.7869999999999999,1.5789473684210527,2.0,1.5789473684210527,2.2130000000000001,1.5789473684210527,0.42105263157894735
1.7869999999999999,1.5689223057644111,2.0,1.5689223057644111,2.2130000000000001,1.5689223057644111,0.43107769423558895
1.7869999999999999,1.5588972431077694,2.0,1.5588972431077694,2.2130000000000001,1.5588972431077694,0.44110275689223055
1.7869999999999999,1.5488721804511278,2.0,1.5488721804511278,2.2130000000000001,1.5488721804511278,0.45112781954887216
1.7869999999999999,1.5388471177944862,2.0,1.5388471177944862,2.2130000000000001,1.5388471177944862,0.46115288220551376
1.7869999999999999,1.5288220551378446,2.0,1.5288220551378446,2.2130000000000001,1.5288220551378446,0.47117794486215536
