edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,intersection_border1_x,intersection_border1_y,intersection_border2_x,intersection_border2_y,centerpoint1_stop_x,centerpoint1_stop_y,centerpoint2_stop_x,centerpoint2_stop_y,cumulative_distance
2.6082691016424446,-1.8607892458706365,1.4299158687614386,-1.507067429537459,0.4770753261847444,-0.478611103151515,-0.321753196270667,0.7538167282075092,-1.280345400702235,1.7770188648765846,0.4770753261847444,-0.478611103151515,,,,,,,,,9.408704886383015
2.6179673539384676,-1.8583132984409478,1.4393633057603965,-1.5103738395874051,0.4841665314664471,-0.4856751824413719,-0.3146233968962127,0.7467916038670128,-1.2709811514184282,1.7734837200955855,0.4841665314664471,-0.4856751824413719,,,,,,,,,9.418714202364724
2.6276357866048827,-1.8557237925165992,1.448834898429535,-1.5136103012049802,0.49126161615620423,-0.4927353651349613,-0.3075002987106023,0.7397596849727256,-1.2616295793345378,1.7699153933866427,0.49126161615620423,-0.4927353651349613,,,,,,,,,9.428723518235728
2.637299282522123,-1.853115486566482,1.458312557147703,-1.5168289449690857,0.4983610482898721,-0.49979117604406054,-0.30038334642830833,0.7327215460397712,-1.2522936542142828,1.7663061115438243,0.4983610482898721,-0.49979117604406054,,,,,,,,,9.438732833999982
2.646961045457144,-1.850500931511638,1.4678137781899439,-1.5199774703341018,0.5054652905557054,-0.5068421436299225,-0.29327212415293813,0.7256776177358939,-1.2429715676186452,1.7626614474186788,0.5054652905557054,-0.5068421436299225,,,,,,,,,9.448742149669405
2.6565876940673427,-1.847759754792114,1.4773237669140382,-1.523099157654821,0.5125748002115778,-0.5138877999246354,-0.28616620813457405,0.71862833656691,-1.2336642282351165,1.7589790776827943,0.5125748002115778,-0.5138877999246354,,,,,,,,,9.458751465263603
2.6662143426775438,-1.8450185780725898,1.4868513097125011,-1.5261671116132656,0.5196900290026344,-0.5209276804573696,-0.2790651668458117,0.7115741449177023,-1.2243722642573052,1.7552582820702776,0.5196900290026344,-0.5209276804573696,,,,,,,,,9.468760780809202
2.6758323769399204,-1.8422479270335081,1.496392791651388,-1.5291911339514868,0.526811423079366,-0.5279613241855713,-0.2719685610588041,0.7045154911004751,-1.2150937527239307,1.751503866403767,0.526811423079366,-0.5279613241855713,,,,,,,,,9.47877009633885
2.6854200534191706,-1.8393734056818511,1.5059462460851059,-1.532177422894398,0.5339394229160811,-0.5349882734311439,-0.2648759439232915,0.6974528294101948,-1.205832533626958,1.7477071815513012,0.5339394229160811,-0.5349882734311439,,,,,,,,,9.488779411889908
2.6950077298984225,-1.8364988843301937,1.5155183591037267,-1.5351031015570304,0.5410744632297615,-0.5420080738216686,-0.25778686104561427,0.690386620187157,-1.1965830730252773,1.7438817545359395,0.5410744632297615,-0.5420080738216686,,,,,,,,,9.498788727502902
2.7045797763608705,-1.8335735254300551,1.5250972920215797,-1.538006626556562,0.5482169728993062,-0.5490202742367287,-0.25070085056874913,0.6833173298866573,-1.1873532052135114,1.7400094579623988,0.5482169728993062,-0.5490202742367287,,,,,,,,,9.508798043219759
2.714126322526812,-1.8305652253164615,1.5346991493620439,-1.5408333137733146,0.555367374885148,-0.5560244267593817,-0.24361744325334606,0.6762454311556781,-1.1781330000162202,1.736114046637291,0.555367374885148,-0.5560244267593817,,,,,,,,,9.518807359081896
2.723672868692756,-1.8275569252028674,1.5443052991748742,-1.5436453702960824,0.5625260861492535,-0.5630200866328451,-0.2365361625598289,0.669171402916586,-1.1689350731040136,1.73216645008407,0.5625260861492535,-0.5630200866328451,,,,,,,,,9.52881667512819
2.7331967151827783,-1.8244783211295261,1.5539337951811054,-1.5463800508854126,0.5696935175755126,-0.5700068122224535,-0.22945652473155442,0.6620957304577576,-1.1597443095930038,1.7282020737955979,0.5696935175755126,-0.5700068122224535,,,,,,,,,9.53882599121084
2.7426999400826713,-1.821335849208576,1.5635683501137443,-1.5490930304834838,0.5768702660495105,-0.5769839670711981,-0.2223780388789879,0.6550189055312462,-1.1505788955323353,1.7241795221780634,0.5768702660495105,-0.5769839670711981,,,,,,,,,9.54883530712126
2.752203164982566,-1.8181933772876255,1.5732208823519733,-1.5517416215537756,0.5840565867003139,-0.583951262134451,-0.21530061971801856,0.6479410145549079,-1.1414177422115659,1.7201471924413898,0.5840565867003139,-0.583951262134451,,,,,,,,,9.558844622808028
2.7616766497511844,-1.8149630632011875,1.582882911560512,-1.55435497966399,0.5912528011292054,-0.5909083375552566,-0.20823599707614146,0.640850350256301,-1.13228539447693,1.7160500628027406,0.5912528011292054,-0.5909083375552566,,,,,,,,,9.568853938285946
2.7711343303019866,-1.8116860688663006,1.592558950132057,-1.5569163642172446,0.5984592897809597,-0.5978547695637503,-0.2011713744342656,0.6337596859576953,-1.1231567518164547,1.711944717682095,0.5984592897809597,-0.5978547695637503,,,,,,,,,9.578863253575099
2.7805920108527906,-1.808409074531413,1.6022475020795401,-1.5594295910970302,0.6056764266115398,-0.604790137508304,-0.1941067517923885,0.6266690216590884,-1.1140552553087757,1.7077794836439404,0.6056764266115398,-0.604790137508304,,,,,,,,,9.588872568701714
2.7900130259804223,-1.8050286557702353,1.6119464917344335,-1.5619026485047551,0.6129045790132633,-0.6117140238563985,-0.18704212915051266,0.6195783573604827,-1.1049606099122677,1.7035994195102497,0.6129045790132633,-0.6117140238563985,,,,,,,,,9.598881883699436
2.7994229076619566,-1.8016168322092305,1.6216605952084768,-1.5643152702596366,0.6201441077406864,-0.6186260142013306,-0.17997750650863684,0.6124876930618771,-1.0958891264876225,1.6993692183627516,0.6201441077406864,-0.6186260142013306,,,,,,,,,9.608891198611095
2.8088327893434926,-1.7982050086482253,1.6313819548781445,-1.5666988766534415,0.6273953668372723,-0.6255256972748445,-0.1729128838667597,0.6053970287632702,-1.086828988233107,1.6951149106947523,0.6273953668372723,-0.6255256972748445,,,,,,,,,9.618900513491008
2.8181992840706664,-1.7946761582330504,1.6411206200711206,-1.5690104562498772,0.6346587035628924,-0.6324126649657434,-0.16584826122488389,0.5983063644646646,-1.0777876193046314,1.6908207214614828,0.6346587035628924,-0.6324126649657434,,,,,,,,,9.628909828407926
